key,kind,label,window,mention_count,source_count,region_mix,category_mix,delta_vs_prev,delta_ratio,streak_days,sample_item_ids,sample_urls,updated_at
topic:general,topic,general,all,436,5,us|global|asia|uk|japan,ai|general|security|macro|policy|social|defense|startups,20,0.048,45,techcrunch-2026-04-18-003|techcrunch-2026-04-18-010|techcrunch-2026-04-18-011,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/|https://techcrunch.com/2026/04/17/chef-robotics-escaped-the-robot-cooking-graveyard-and-says-its-thriving-heres-why/|https://techcrunch.com/2026/04/17/uber-will-now-pick-up-your-returns-from-your-doorstep/,2026-05-03T22:00:21.180Z
topic:product-launch,topic,product-launch,all,79,6,us|global,ai|macro|general|security|startups|social|policy,0,0,45,techcrunch-2026-04-18-012|techcrunch-2026-04-18-016|techcrunch-2026-04-18-019,https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/|https://techcrunch.com/2026/04/17/netflix-plans-to-add-a-vertical-video-feed-use-ai-for-recommendations/|https://techcrunch.com/video/are-we-tokenmaxxing-our-way-to-nowhere/,2026-05-03T22:00:21.180Z
topic:market-move,topic,market-move,all,46,5,us|global,crypto|ai|macro|general|policy,0,0,41,techcrunch-2026-04-18-006|techcrunch-2026-04-18-016|techcrunch-2026-04-18-019,https://techcrunch.com/2026/04/17/tokenmaxxing-is-making-developers-less-productive-than-they-think/|https://techcrunch.com/2026/04/17/netflix-plans-to-add-a-vertical-video-feed-use-ai-for-recommendations/|https://techcrunch.com/video/are-we-tokenmaxxing-our-way-to-nowhere/,2026-05-03T22:00:21.180Z
topic:infrastructure,topic,infrastructure,all,35,4,us|global,ai|security|policy|general|crypto,0,0,39,techcrunch-2026-04-18-019|hn-2026-04-18-013|hn-2026-04-18-014,https://techcrunch.com/video/are-we-tokenmaxxing-our-way-to-nowhere/|https://lindbakk.com/blog/introducing-brunost|https://amitlimaye1.substack.com/p/rewriting-every-syscall-in-a-linux,2026-05-03T22:00:21.180Z
topic:funding,topic,funding,all,29,4,us|eu|global,general|startups|ai|macro|security|policy|crypto,0,0,45,techcrunch-2026-04-18-002|techcrunch-2026-04-18-005|techcrunch-2026-04-18-018,https://techcrunch.com/2026/04/17/sam-altmans-project-world-looks-to-scale-its-human-verification-empire-first-stop-tinder/|https://techcrunch.com/2026/04/17/sources-cursor-in-talks-to-raise-2b-at-50b-valuation-as-enterprise-growth-surges/|https://techcrunch.com/2026/04/17/loop-raises-95m-to-build-supply-chain-ai-that-predicts-disruptions/,2026-05-03T22:00:21.180Z
