key,kind,label,window,mention_count,source_count,region_mix,category_mix,delta_vs_prev,delta_ratio,streak_days,sample_item_ids,sample_urls,updated_at
category:ai,category,ai,all,92,4,us|global|asia,ai,10,0.122,22,techcrunch-2026-04-18-003|techcrunch-2026-04-18-008|techcrunch-2026-04-18-009,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/|https://techcrunch.com/2026/04/17/zoom-teams-up-with-world-to-verify-humans-in-meeting/|https://techcrunch.com/2026/04/17/gigs-turns-your-concert-history-into-a-personal-live-music-archive/,2026-04-24T22:00:18.085Z
category:security,category,security,all,61,2,global|us,security,11,0.22,22,hn-2026-04-18-001|hn-2026-04-18-002|hn-2026-04-18-003,https://abuseofnotation.github.io/category-theory-illustrated/04_order/|https://en.wikipedia.org/wiki/Michael_O._Rabin|https://kdenlive.org/news/2026/state-2026/,2026-04-24T22:00:18.085Z
category:general,category,general,all,30,2,us|global,general,2,0.071,22,techcrunch-2026-04-18-001|techcrunch-2026-04-18-002|techcrunch-2026-04-18-011,https://techcrunch.com/2026/04/17/once-close-enough-for-an-acquisition-stripe-and-airwallex-are-now-going-after-each-other/|https://techcrunch.com/2026/04/17/sam-altmans-project-world-looks-to-scale-its-human-verification-empire-first-stop-tinder/|https://techcrunch.com/2026/04/17/uber-will-now-pick-up-your-returns-from-your-doorstep/,2026-04-24T22:00:18.085Z
category:macro,category,macro,all,28,4,global|us|china,macro,3,0.12,18,hn-2026-04-18-007|fed-2026-04-23-001|fed-2026-04-23-002,https://victorpoughon.github.io/interval-calculator/|https://www.federalreserve.gov/newsevents/pressreleases/enforcement20260422a.htm|https://www.federalreserve.gov/newsevents/pressreleases/enforcement20260416a.htm,2026-04-24T22:00:18.085Z
category:crypto,category,crypto,all,8,3,us|global,crypto,0,0,22,techcrunch-2026-04-18-006|coingecko-2026-04-23-001|coingecko-2026-04-23-002,https://techcrunch.com/2026/04/17/tokenmaxxing-is-making-developers-less-productive-than-they-think/|https://www.coingecko.com/en/coins/bitcoin|https://www.coingecko.com/en/coins/ethereum,2026-04-24T22:00:18.085Z
category:startups,category,startups,all,5,1,us,startups,1,0.25,21,techcrunch-2026-04-18-005|techcrunch-2026-04-24-002|techcrunch-2026-04-24-018,https://techcrunch.com/2026/04/17/sources-cursor-in-talks-to-raise-2b-at-50b-valuation-as-enterprise-growth-surges/|https://techcrunch.com/2026/04/23/bob-iger-rejoins-thrive-capital-as-advisor-after-disney-exit/|https://techcrunch.com/2026/04/23/salmon-raises-100m-in-equity-and-debt-to-bring-digital-credit-to-underbanked-filipinos/,2026-04-24T22:00:18.085Z
category:policy,category,policy,all,5,1,us,policy,0,0,22,techcrunch-2026-04-18-004|techcrunch-2026-04-18-007|techcrunch-2026-04-18-013,https://techcrunch.com/2026/04/17/man-who-hacked-us-supreme-court-filing-system-sentenced-to-probation/|https://techcrunch.com/2026/04/17/hackers-are-abusing-unpatched-windows-security-flaws-to-hack-into-organizations/|https://techcrunch.com/2026/04/17/with-us-spy-laws-set-to-expire-lawmakers-are-split-over-protecting-americans-from-warrantless-surveillance/,2026-04-24T22:00:18.085Z
category:defense,category,defense,all,1,1,us,defense,1,1,1,techcrunch-2026-04-24-001,https://techcrunch.com/2026/04/24/palantir-is-reportedly-helping-the-irs-investigate-financial-crimes/,2026-04-24T22:00:18.085Z
category:social,category,social,all,1,1,us,social,0,0,6,techcrunch-2026-04-24-007,https://techcrunch.com/2026/04/23/instagram-tests-a-new-instants-app-for-sharing-disappearing-photos/,2026-04-24T22:00:18.085Z
